provider,region_name,type,metro,country,latitude,longitude,zones
Huawei Cloud,AP-Bangkok,Cloud Region,Bangkok,Thailand,13.753330,100.504822,3
Microsoft Azure,Thailand,Cloud Region,Bangkok,Thailand,13.753330,100.504822,3
Tencent Cloud,Southeast Asia (Bangkok),Cloud Region,Bangkok,Thailand,13.753330,100.504822,2
Huawei Cloud,TR-Istanbul,Cloud Region,Istanbul,Turkey,41.0408,28.98618,3
Microsoft Azure,UAE Central (Abu Dhabi),Cloud Region,Abu Dhabi,United Arab Emirates,24.44396,54.41896,1
Oracle Cloud,United Arab Emirates (Abu Dhabi),Cloud Region,Abu Dhabi,United Arab Emirates,24.44396,54.41896,1
Alibaba Cloud,Middle East 1 (Dubai),Cloud Region,Dubai,United Arab Emirates,25.26934,55.308487,1
Amazon Web Services,United Arab Emirates,Cloud Region,Dubai,United Arab Emirates,25.26934,55.308487,3
Microsoft Azure,UAE North (Dubai),Cloud Region,Dubai,United Arab Emirates,25.26934,55.308487,3
Oracle Cloud,United Arab Emirates (Dubai),Cloud Region,Dubai,United Arab Emirates,25.26934,55.308487,1
Microsoft Azure,UK West (Cardiff),Cloud Region,Cardiff,United Kingdom,51.481250,-3.180734,1
Alibaba Cloud,UK (London),Cloud Region,London,United Kingdom,51.506325,-0.127144,2
Amazon Web Services,Europe West (London),Cloud Region,London,United Kingdom,51.506325,-0.127144,3
Google Cloud,London,Cloud Region,London,United Kingdom,51.506325,-0.127144,3
IBM Cloud,London,Cloud Region,London,United Kingdom,51.506325,-0.127144,3
Microsoft Azure,UK South (London),Cloud Region,London,United Kingdom,51.506325,-0.127144,3
Oracle Cloud,UK Gov South (London),Cloud Region,London,United Kingdom,51.506325,-0.127144,1
Oracle Cloud,UK South (London),Cloud Region,London,United Kingdom,51.506325,-0.127144,3
OVH,Western Europe (London),Cloud Region,London,United Kingdom,51.506325,-0.127144,1
Oracle Cloud,UK Gov West (Newport),Cloud Region,Newport,United Kingdom,51.589016,-2.996922,1
Oracle Cloud,UK West (Newport),Cloud Region,Newport,United Kingdom,51.589016,-2.996922,1
Microsoft Azure,East US 3 (Atlanta),Cloud Region,Atlanta,United States,33.748315,-84.391109,3
Microsoft Azure,US Gov Texas,Cloud Region,Austin,United States,30.267605,-97.742984,1
Google Cloud,South Carolina,Cloud Region,Charleston,United States,33.196499,-80.012690,3
Microsoft Azure,West Central US (Cheyenne),Cloud Region,Cheyenne,United States,41.134815,-104.821544,3
Microsoft Azure,North Central US (Chicago),Cloud Region,Chicago,United States,41.917253,-87.895619,1
Oracle Cloud,US DoD North,Cloud Region,Chicago,United States,41.917253,-87.895619,1
Oracle Cloud,US Midwest (Chicago),Cloud Region,Chicago,United States,41.917253,-87.895619,1
Microsoft Azure,North Central US (Chicago),Cloud Region,Chicago,United States,41.884150,-87.632409,1
Oracle Cloud,US DoD North,Cloud Region,Chicago,United States,41.884150,-87.632409,1
Oracle Cloud,US Midwest (Chicago),Cloud Region,Chicago,United States,41.884150,-87.632409,1
Amazon Web Services,AWS GovCloud (US-East),Cloud Region,Columbus,United States,40.0811745,-82.8087864,3
Amazon Web Services,US East (Ohio),Cloud Region,Columbus,United States,40.0811745,-82.8087864,3
Google Cloud,Columbus,Cloud Region,Columbus,United States,40.0811745,-82.8087864,3
Amazon Web Services,AWS GovCloud (US-East),Cloud Region,Columbus,United States,40.029810,-83.151054,3
Amazon Web Services,US East (Ohio),Cloud Region,Columbus,United States,40.029810,-83.151054,3
Google Cloud,Columbus,Cloud Region,Columbus,United States,40.029810,-83.151054,3
Amazon Web Services,AWS GovCloud (US-East),Cloud Region,Columbus,United States,39.961960,-83.002984,3
Amazon Web Services,US East (Ohio),Cloud Region,Columbus,United States,39.961960,-83.002984,3
Google Cloud,Columbus,Cloud Region,Columbus,United States,39.961960,-83.002984,3
Google Cloud,Dallas,Cloud Region,Dallas,United States,32.778155,-96.795404,3
IBM Cloud,Dallas,Cloud Region,Dallas,United States,32.778155,-96.795404,3
Microsoft Azure,Central US (Des Moines),Cloud Region,Des Moines,United States,41.589790,-93.615659,3
Microsoft Azure,US DoD Central,Cloud Region,Des Moines,United States,41.589790,-93.615659,1
Microsoft Azure,US Sec West Central,Cloud Region,Des Moines,United States,41.589790,-93.615659,3
Amazon Web Services,AWS GovCloud (US-West),Cloud Region,Hermiston,United States,45.919796,-119.338855,3
Amazon Web Services,US West (Oregon),Cloud Region,Hermiston,United States,45.919796,-119.338855,4
Amazon Web Services,AWS GovCloud (US-West),Cloud Region,Hermiston,United States,45.839855,-119.700583,3
Amazon Web Services,US West (Oregon),Cloud Region,Hermiston,United States,45.839855,-119.700583,4
Google Cloud,Las Vegas,Cloud Region,Las Vegas,United States,36.171915,-115.139974,3
Google Cloud,Los Angeles,Cloud Region,Los Angeles,United States,34.053481,-118.245336,3
Microsoft Azure,West US 2 (Quincy),Cloud Region,Moses Lake,United States,47.237515,-119.853309,3
Google Cloud,Iowa,Cloud Region,Omaha,United States,41.2328248,-95.9167208,4
Google Cloud,Phoenix,Cloud Region,Phoenix,United States,33.448260,-112.075774,3
Microsoft Azure,US Gov Arizona,Cloud Region,Phoenix,United States,33.448260,-112.075774,1
Microsoft Azure,West US 3 (Phoenix),Cloud Region,Phoenix,United States,33.448260,-112.075774,3
Oracle Cloud,US DoD West,Cloud Region,Phoenix,United States,33.448260,-112.075774,1
Oracle Cloud,US Gov West (Phoenix),Cloud Region,Phoenix,United States,33.448260,-112.075774,1
Oracle Cloud,US West (Phoenix),Cloud Region,Phoenix,United States,33.448260,-112.075774,3
OVH,West Coast (Seattle),Cloud Region,Portland,United States,45.522900,-122.989800,1
Microsoft Azure,East US (Richmond),Cloud Region,Richmond,United States,37.540700,-77.433654,3
Microsoft Azure,East US 2 (Richmond),Cloud Region,Richmond,United States,37.540700,-77.433654,3
Microsoft Azure,US DoD East,Cloud Region,Richmond,United States,37.540700,-77.433654,1
Microsoft Azure,US Sec East,Cloud Region,Richmond,United States,37.540700,-77.433654,1
Google Cloud,Salt Lake City,Cloud Region,Salt Lake City,United States,40.759505,-111.888229,3
Microsoft Azure,South Central US (San Antonio),Cloud Region,San Antonio,United States,29.424490,-98.494624,3
Alibaba Cloud,US West 1 (Silicon Valley),Cloud Region,San Francisco,United States,37.777125,-122.419644,2
Amazon Web Services,US West (Northern California),Cloud Region,San Francisco,United States,37.777125,-122.419644,3
Microsoft Azure,US Sec West,Cloud Region,San Francisco,United States,37.777125,-122.419644,1
Microsoft Azure,West US (San Francisco),Cloud Region,San Francisco,United States,37.777125,-122.419644,1
Oracle Cloud,US West (San Jose),Cloud Region,San Francisco,United States,37.777125,-122.419644,1
Tencent Cloud,Western U.S. (Silicon Valley),Cloud Region,San Francisco,United States,37.777125,-122.419644,2
Alibaba Cloud,US West 1 (Silicon Valley),Cloud Region,San Francisco,United States,37.338475,-121.885794,2
Amazon Web Services,US West (Northern California),Cloud Region,San Francisco,United States,37.338475,-121.885794,3
Microsoft Azure,US Sec West,Cloud Region,San Francisco,United States,37.338475,-121.885794,1
Microsoft Azure,West US (San Francisco),Cloud Region,San Francisco,United States,37.338475,-121.885794,1
Oracle Cloud,US West (San Jose),Cloud Region,San Francisco,United States,37.338475,-121.885794,1
Tencent Cloud,Western U.S. (Silicon Valley),Cloud Region,San Francisco,United States,37.338475,-121.885794,2
Google Cloud,Oregon,Cloud Region,The Dalles,United States,45.601555,-121.183434,3
Alibaba Cloud,US East 1 (Virginia),Cloud Region,Washington,United States,38.890370,-77.031959,2
Amazon Web Services,US East (Northern Virginia),Cloud Region,Washington,United States,38.890370,-77.031959,6
Google Cloud,Northern Virginia,Cloud Region,Washington,United States,38.890370,-77.031959,3
IBM Cloud,Washington DC,Cloud Region,Washington,United States,38.890370,-77.031959,3
Microsoft Azure,US Gov Virginia ,Cloud Region,Washington,United States,38.890370,-77.031959,3
Oracle Cloud,US DoD East,Cloud Region,Washington,United States,38.890370,-77.031959,1
Oracle Cloud,US East (Ashburn),Cloud Region,Washington,United States,38.890370,-77.031959,3
Oracle Cloud,US Gov East (Ashburn),Cloud Region,Washington,United States,38.890370,-77.031959,1
OVH,East Coast (Washington DC),Cloud Region,Washington,United States,38.890370,-77.031959,1
Tencent Cloud,Eastern U.S. (Virginia),Cloud Region,Washington,United States,38.890370,-77.031959,2
Alibaba Cloud,US East 1 (Virginia),Cloud Region,Washington,United States,39.051631,-77.483151,2
Amazon Web Services,US East (Northern Virginia),Cloud Region,Washington,United States,39.051631,-77.483151,6
Google Cloud,Northern Virginia,Cloud Region,Washington,United States,39.051631,-77.483151,3
IBM Cloud,Washington DC,Cloud Region,Washington,United States,39.051631,-77.483151,3
Microsoft Azure,US Gov Virginia ,Cloud Region,Washington,United States,39.051631,-77.483151,3
Oracle Cloud,US DoD East,Cloud Region,Washington,United States,39.051631,-77.483151,1
Oracle Cloud,US East (Ashburn),Cloud Region,Washington,United States,39.051631,-77.483151,3
Oracle Cloud,US Gov East (Ashburn),Cloud Region,Washington,United States,39.051631,-77.483151,1
OVH,East Coast (Washington DC),Cloud Region,Washington,United States,39.051631,-77.483151,1
Tencent Cloud,Eastern U.S. (Virginia),Cloud Region,Washington,United States,39.051631,-77.483151,2
Alibaba Cloud,US East 1 (Virginia),Cloud Region,Washington,United States,38.746455,-77.673791,2
Amazon Web Services,US East (Northern Virginia),Cloud Region,Washington,United States,38.746455,-77.673791,6
Google Cloud,Northern Virginia,Cloud Region,Washington,United States,38.746455,-77.673791,3
IBM Cloud,Washington DC,Cloud Region,Washington,United States,38.746455,-77.673791,3
Microsoft Azure,US Gov Virginia ,Cloud Region,Washington,United States,38.746455,-77.673791,3
Oracle Cloud,US DoD East,Cloud Region,Washington,United States,38.746455,-77.673791,1
Oracle Cloud,US East (Ashburn),Cloud Region,Washington,United States,38.746455,-77.673791,3
Oracle Cloud,US Gov East (Ashburn),Cloud Region,Washington,United States,38.746455,-77.673791,1
OVH,East Coast (Washington DC),Cloud Region,Washington,United States,38.746455,-77.673791,1
Tencent Cloud,Eastern U.S. (Virginia),Cloud Region,Washington,United States,38.746455,-77.673791,2
Amazon Web Services,,Local Zone,Buenos Aires,Argentina,-34.608521,-58.373539,
OVH,,Local Zone,Buenos Aires,Argentina,-34.608521,-58.373539,
Google Cloud,,Local Zone,Melbourne,Australia,-37.817532,144.967148,
Google Cloud,,Local Zone,Melbourne,Australia,-37.817532,144.967148,
Amazon Web Services,,Local Zone,Perth,Australia,-31.953112,115.857254,
Microsoft Azure,,Local Zone,Perth,Australia,-31.953112,115.857254,
Google Cloud,,Local Zone,Sydney,Australia,-33.869696,151.20704,
Google Cloud,,Local Zone,Sydney,Australia,-33.869696,151.20704,
Amazon Web Services,,Local Zone,Vienna,Austria,48.202548,16.368805,
OVH,,Local Zone,Vienna,Austria,48.202548,16.368805,
Amazon Web Services,,Local Zone,Brussels,Belgium,50.8466269,4.35034188,
OVH,,Local Zone,Brussels,Belgium,50.8466269,4.35034188,
Amazon Web Services,,Local Zone,Rio de Janeiro,Brazil,-22.903448,-43.209557,
Google Cloud,,Local Zone,SÃ£o Paulo,Brazil,-23.562880,-46.654659,
Google Cloud,,Local Zone,SÃ£o Paulo,Brazil,-23.562880,-46.654659,
Google Cloud,,Local Zone,SÃ£o Paulo,Brazil,-23.562880,-46.654659,
OVH,,Local Zone,SÃ£o Paulo,Brazil,-23.562880,-46.654659,
OVH,,Local Zone,Sofia,Bulgaria,42.697085,23.324550,
Google Cloud,,Local Zone,London,Canada,42.986895,-81.246214,
Google Cloud,,Local Zone,London,Canada,42.986895,-81.246214,
Google Cloud,,Local Zone,MontrÃ©al,Canada,45.5576996,-74.0104842,
Amazon Web Services,,Local Zone,Toronto,Canada,43.648560,-79.385324,
Google Cloud,,Local Zone,Toronto,Canada,43.648560,-79.385324,
Google Cloud,,Local Zone,Toronto,Canada,43.648560,-79.385324,
Amazon Web Services,,Local Zone,Vancouver,Canada,49.260440,-123.114034,
Amazon Web Services,,Local Zone,Santiago,Chile,-33.437269,-70.650564,
Google Cloud,,Local Zone,Santiago,Chile,-33.437269,-70.650564,
OVH,,Local Zone,Santiago,Chile,-33.437269,-70.650564,
Google Cloud,,Local Zone,Hong Kong,China,22.283325,114.158720,
Google Cloud,,Local Zone,Hong Kong,China,22.283325,114.158720,
Amazon Web Services,,Local Zone,BogotÃ¡,Colombia,4.656370,-74.117790,
Amazon Web Services,,Local Zone,Prague,Czech Republic,50.079083,14.433230,
OVH,,Local Zone,Prague,Czech Republic,50.079083,14.433230,
OVH,,Local Zone,Abidjan,CÃ´te d'Ivoire,5.323497,-4.026252,
Amazon Web Services,,Local Zone,Copenhagen,Denmark,55.676183,12.569333,
OVH,,Local Zone,Copenhagen,Denmark,55.676183,12.569333,
Amazon Web Services,,Local Zone,Helsinki,Finland,60.1712,24.932563,
Google Cloud,,Local Zone,Helsinki,Finland,60.1712,24.932563,
Google Cloud,,Local Zone,Helsinki,Finland,60.1712,24.932563,
OVH,,Local Zone,Helsinki,Finland,60.1712,24.932563,
OVH,,Local Zone,Marseille,France,43.293579,5.372507,
Google Cloud,,Local Zone,Paris,France,48.856930,2.341200,
Google Cloud,,Local Zone,Paris,France,48.856930,2.341200,
Google Cloud,,Local Zone,Paris,France,48.856930,2.341200,
Google Cloud,,Local Zone,Paris,France,48.856930,2.341200,
Google Cloud,,Local Zone,Frankfurt,Germany,50.112065,8.683415,
Google Cloud,,Local Zone,Frankfurt,Germany,50.112065,8.683415,
Google Cloud,,Local Zone,Frankfurt,Germany,50.112065,8.683415,
Amazon Web Services,,Local Zone,Hamburg,Germany,53.553345,9.992455,
Amazon Web Services,,Local Zone,Athens,Greece,37.976093,23.736254,
OVH,,Local Zone,Bangalore,India,12.970920,77.604820,
Amazon Web Services,,Local Zone,Kolkata,India,22.526670,88.346160,
Google Cloud,,Local Zone,Mumbai,India,19.07608,72.875866,
Google Cloud,,Local Zone,Mumbai,India,19.07608,72.875866,
Amazon Web Services,,Local Zone,New Delhi,India,28.635308,77.224960,
Google Cloud,,Local Zone,New Delhi,India,28.635308,77.224960,
Google Cloud,,Local Zone,New Delhi,India,28.635308,77.224960,
OVH,,Local Zone,New Delhi,India,28.635308,77.224960,
Google Cloud,,Local Zone,Jakarta,Indonesia,-6.171588,106.827868,
Google Cloud,,Local Zone,Jakarta,Indonesia,-6.171588,106.827868,
Google Cloud,,Local Zone,Tel Aviv,Israel,32.045043,34.769661,
Google Cloud,,Local Zone,Tel Aviv,Israel,32.045043,34.769661,
Google Cloud,,Local Zone,Milan,Italy,45.468945,9.181030,
Google Cloud,,Local Zone,Milan,Italy,45.468945,9.181030,
Google Cloud,,Local Zone,Milan,Italy,45.468945,9.181030,
Google Cloud,,Local Zone,Milan,Italy,45.468945,9.181030,
OVH,,Local Zone,Milan,Italy,45.468945,9.181030,
Google Cloud,,Local Zone,Osaka,Japan,34.677471,135.503235,
Google Cloud,,Local Zone,Osaka,Japan,34.677471,135.503235,
Google Cloud,,Local Zone,Tokyo,Japan,35.5092405,139.769812,
Google Cloud,,Local Zone,Tokyo,Japan,35.5092405,139.769812,
Google Cloud,,Local Zone,Tokyo,Japan,35.5092405,139.769812,
Amazon Web Services,,Local Zone,Nairobi,Kenya,-1.277298,36.806261,
OVH,,Local Zone,Luxembourg,Luxembourg,49.609531,6.129970,
OVH,,Local Zone,Mexico City,Mexico,19.431900,-99.132851,
Amazon Web Services,,Local Zone,Santiago de QuerÃ©taro,Mexico,20.6121228,-100.480258,
OVH,,Local Zone,Rabat,Morocco,33.9222761,-6.90129563,
Amazon Web Services,,Local Zone,Amsterdam,Netherlands,52.354775,4.7585408,
Google Cloud,,Local Zone,Amsterdam,Netherlands,52.354775,4.7585408,
Google Cloud,,Local Zone,Amsterdam,Netherlands,52.354775,4.7585408,
OVH,,Local Zone,Amsterdam,Netherlands,52.354775,4.7585408,
Amazon Web Services,,Local Zone,Auckland,New Zealand,-36.884209,174.770419,
OVH,,Local Zone,Auckland,New Zealand,-36.884209,174.770419,
Amazon Web Services,,Local Zone,Lagos,Nigeria,6.439095,3.423498,
Amazon Web Services,,Local Zone,Oslo,Norway,59.912280,10.749980,
OVH,,Local Zone,Oslo,Norway,59.912280,10.749980,
Amazon Web Services,,Local Zone,Muscat,Oman,23.58413,58.40778,
Amazon Web Services,,Local Zone,Lima,Peru,-12.043600,-77.021217,
Amazon Web Services,,Local Zone,Manila,Philippines,14.609620,121.005890,
Amazon Web Services,,Local Zone,Warsaw,Poland,52.235370,21.009485,
Google Cloud,,Local Zone,Warsaw,Poland,52.235370,21.009485,
Google Cloud,,Local Zone,Warsaw,Poland,52.235370,21.009485,
Amazon Web Services,,Local Zone,Lisbon,Portugal,38.725681,-9.150192,
OVH,,Local Zone,Lisbon,Portugal,38.725681,-9.150192,
OVH,,Local Zone,Bucharest,Romania,44.434295,26.102965,
Google Cloud,,Local Zone,Singapore,Singapore,1.293873,103.853107,
Google Cloud,,Local Zone,Singapore,Singapore,1.293873,103.853107,
Amazon Web Services,,Local Zone,Johannesburg,South Africa,-26.204944,28.040035,
Google Cloud,,Local Zone,Johannesburg,South Africa,-26.204944,28.040035,
Google Cloud,,Local Zone,Johannesburg,South Africa,-26.204944,28.040035,
Amazon Web Services,,Local Zone,Johannesburg,South Africa,-26.136304,28.201905,
Google Cloud,,Local Zone,Johannesburg,South Africa,-26.136304,28.201905,
Google Cloud,,Local Zone,Johannesburg,South Africa,-26.136304,28.201905,
Amazon Web Services,,Local Zone,Johannesburg,South Africa,-25.8602778,28.1894444,
Google Cloud,,Local Zone,Johannesburg,South Africa,-25.8602778,28.1894444,
Google Cloud,,Local Zone,Johannesburg,South Africa,-25.8602778,28.1894444,
Google Cloud,,Local Zone,Seoul,South Korea,37.557121,126.977379,
Google Cloud,,Local Zone,Seoul,South Korea,37.557121,126.977379,
Google Cloud,,Local Zone,Seoul,South Korea,37.557121,126.977379,
Google Cloud,,Local Zone,Seoul,South Korea,37.557121,126.977379,
Google Cloud,,Local Zone,Madrid,Spain,40.420300,-3.705774,
Google Cloud,,Local Zone,Madrid,Spain,40.420300,-3.705774,
OVH,,Local Zone,Madrid,Spain,40.420300,-3.705774,
OVH,,Local Zone,Stockholm,Sweden,59.332268,18.062797,
Google Cloud,,Local Zone,ZÃ¼rich,Switzerland,47.377060,8.539550,
Google Cloud,,Local Zone,ZÃ¼rich,Switzerland,47.377060,8.539550,
OVH,,Local Zone,ZÃ¼rich,Switzerland,47.377060,8.539550,
Amazon Web Services,,Local Zone,Taipei,Taiwan,25.080441,121.564194,
Google Cloud,,Local Zone,Taipei,Taiwan,25.080441,121.564194,
Google Cloud,,Local Zone,Taipei,Taiwan,25.080441,121.564194,
Google Cloud,,Local Zone,Taipei,Taiwan,25.080441,121.564194,
Amazon Web Services,,Local Zone,Bangkok,Thailand,13.753330,100.504822,
OVH,,Local Zone,Tunis,Tunisia,36.798672,10.172630,
OVH,,Local Zone,Dubai,United Arab Emirates,25.26934,55.308487,
OVH,,Local Zone,Manchester,United Kingdom,53.479605,-2.248818,
Amazon Web Services,,Local Zone,Atlanta,United States,33.748315,-84.391109,
Google Cloud,,Local Zone,Atlanta,United States,33.748315,-84.391109,
OVH,,Local Zone,Atlanta,United States,33.748315,-84.391109,
Amazon Web Services,,Local Zone,Atlanta,United States,33.925182,-84.841532,
Google Cloud,,Local Zone,Atlanta,United States,33.925182,-84.841532,
OVH,,Local Zone,Atlanta,United States,33.925182,-84.841532,
Amazon Web Services,,Local Zone,Boston,United States,42.358635,-71.056699,
OVH,,Local Zone,Boston,United States,42.358635,-71.056699,
Amazon Web Services,,Local Zone,Chicago,United States,41.884150,-87.632409,
OVH,,Local Zone,Chicago,United States,41.884150,-87.632409,
Google Cloud,,Local Zone,Columbus,United States,32.462925,-84.987629,
Amazon Web Services,,Local Zone,Dallas,United States,32.778155,-96.795404,
OVH,,Local Zone,Dallas,United States,32.778155,-96.795404,
Amazon Web Services,,Local Zone,Denver,United States,39.740010,-104.992259,
OVH,,Local Zone,Denver,United States,39.740010,-104.992259,
Amazon Web Services,,Local Zone,Fresno,United States,37.271875,-119.270229,
Amazon Web Services,,Local Zone,Honolulu,United States,21.304770,-157.857614,
Amazon Web Services,,Local Zone,Houston,United States,29.760450,-95.369784,
Amazon Web Services,,Local Zone,Kansas City,United States,39.113380,-94.626824,
Amazon Web Services,,Local Zone,Las Vegas,United States,36.171915,-115.139974,
Google Cloud,,Local Zone,Las Vegas,United States,36.171915,-115.139974,
Amazon Web Services,,Local Zone,Los Angeles,United States,34.053481,-118.245336,
Google Cloud,,Local Zone,Los Angeles,United States,34.053481,-118.245336,
Google Cloud,,Local Zone,Los Angeles,United States,34.053481,-118.245336,
Google Cloud,,Local Zone,Los Angeles,United States,34.053481,-118.245336,
Google Cloud,,Local Zone,Los Angeles,United States,34.053481,-118.245336,
Microsoft Azure,,Local Zone,Los Angeles,United States,34.053481,-118.245336,
OVH,,Local Zone,Los Angeles,United States,34.053481,-118.245336,
Amazon Web Services,,Local Zone,Miami,United States,25.728985,-80.237419,
OVH,,Local Zone,Miami,United States,25.728985,-80.237419,
Amazon Web Services,,Local Zone,Minneapolis,United States,44.979035,-93.264929,
Amazon Web Services,,Local Zone,New York,United States,40.714550,-74.007124,
OVH,,Local Zone,New York,United States,40.714550,-74.007124,
Amazon Web Services,,Local Zone,New York,United States,40.731970,-74.174184,
OVH,,Local Zone,New York,United States,40.731970,-74.174184,
Google Cloud,,Local Zone,Omaha,United States,41.2328248,-95.9167208,
Amazon Web Services,,Local Zone,Philadelphia,United States,39.952270,-75.162369,
Amazon Web Services,,Local Zone,Phoenix,United States,33.448260,-112.075774,
OVH,,Local Zone,Phoenix,United States,33.448260,-112.075774,
Google Cloud,,Local Zone,Portland,United States,45.511795,-122.675629,
Google Cloud,,Local Zone,Salt Lake City,United States,40.759505,-111.888229,
OVH,,Local Zone,Salt Lake City,United States,40.759505,-111.888229,
OVH,,Local Zone,San Francisco,United States,37.444660,-122.160794,
Amazon Web Services,,Local Zone,Seattle,United States,47.603560,-122.329439,
OVH,,Local Zone,Seattle,United States,47.603560,-122.329439,
OVH,,Local Zone,St. Louis,United States,38.627740,-90.199514,
Google Cloud,,Local Zone,Washington,United States,39.051631,-77.483151,
Google Cloud,,Local Zone,Washington,United States,39.051631,-77.483151,
Amazon Web Services,,Local Zone,Hanoi,Vietnam,21.031950,105.819908,
Amazon Web Services,,On Ramp,Buenos Aires,Argentina,-34.5904043,-58.4671098,
Google Cloud,,On Ramp,Buenos Aires,Argentina,-34.5904043,-58.4671098,
Oracle Cloud,,On Ramp,Buenos Aires,Argentina,-34.5904043,-58.4671098,
Amazon Web Services,,On Ramp,Brisbane,Australia,-27.453902,153.033201,
Google Cloud,,On Ramp,Brisbane,Australia,-27.453902,153.033201,
Amazon Web Services,,On Ramp,Canberra,Australia,-35.246226,149.096414,
Google Cloud,,On Ramp,Canberra,Australia,-35.246226,149.096414,
Microsoft Azure,,On Ramp,Canberra,Australia,-35.246226,149.096414,
Microsoft Azure,,On Ramp,Canberra,Australia,-35.246226,149.096414,
Oracle Cloud,,On Ramp,Canberra,Australia,-35.246226,149.096414,
Amazon Web Services,,On Ramp,Melbourne,Australia,-37.82202,144.9324765,
Amazon Web Services,,On Ramp,Melbourne,Australia,-37.82202,144.9324765,
Google Cloud,,On Ramp,Melbourne,Australia,-37.82202,144.9324765,
Google Cloud,,On Ramp,Melbourne,Australia,-37.82202,144.9324765,
Google Cloud,,On Ramp,Melbourne,Australia,-37.82202,144.9324765,
IBM Cloud,,On Ramp,Melbourne,Australia,-37.82202,144.9324765,
Microsoft Azure,,On Ramp,Melbourne,Australia,-37.82202,144.9324765,
Oracle Cloud,,On Ramp,Melbourne,Australia,-37.82202,144.9324765,
Amazon Web Services,,On Ramp,Perth,Australia,-31.864402,115.895935,
Google Cloud,,On Ramp,Perth,Australia,-31.864402,115.895935,
IBM Cloud,,On Ramp,Perth,Australia,-31.864402,115.895935,
Microsoft Azure,,On Ramp,Perth,Australia,-31.864402,115.895935,
Amazon Web Services,,On Ramp,Sydney,Australia,-33.9122374,151.1937548,
Amazon Web Services,,On Ramp,Sydney,Australia,-33.9122374,151.1937548,
Amazon Web Services,,On Ramp,Sydney,Australia,-33.9122374,151.1937548,
Google Cloud,,On Ramp,Sydney,Australia,-33.9122374,151.1937548,
Google Cloud,,On Ramp,Sydney,Australia,-33.9122374,151.1937548,
IBM Cloud,,On Ramp,Sydney,Australia,-33.9122374,151.1937548,
IBM Cloud,,On Ramp,Sydney,Australia,-33.9122374,151.1937548,
IBM Cloud,,On Ramp,Sydney,Australia,-33.9122374,151.1937548,
IBM Cloud,,On Ramp,Sydney,Australia,-33.9122374,151.1937548,
IBM Cloud,,On Ramp,Sydney,Australia,-33.9122374,151.1937548,
Microsoft Azure,,On Ramp,Sydney,Australia,-33.9122374,151.1937548,
Microsoft Azure,,On Ramp,Sydney,Australia,-33.9122374,151.1937548,
Oracle Cloud,,On Ramp,Sydney,Australia,-33.9122374,151.1937548,
Amazon Web Services,,On Ramp,Vienna,Austria,48.2697621,16.4102279,
Google Cloud,,On Ramp,Vienna,Austria,48.2697621,16.4102279,
Microsoft Azure,,On Ramp,Vienna,Austria,48.2697621,16.4102279,
Microsoft Azure,,On Ramp,Vienna,Austria,48.2697621,16.4102279,
Amazon Web Services,,On Ramp,Manama,Bahrain,26.229438,50.575955,
Google Cloud,,On Ramp,Brussels,Belgium,50.8710692,4.4741265,
IBM Cloud,,On Ramp,Campinas,Brazil,-23.0710353,-47.0140257,
Microsoft Azure,,On Ramp,Campinas,Brazil,-23.0710353,-47.0140257,
Oracle Cloud,,On Ramp,Campinas,Brazil,-23.0710353,-47.0140257,
Amazon Web Services,,On Ramp,Rio de Janeiro,Brazil,-22.871520,-43.272836,
Google Cloud,,On Ramp,Rio de Janeiro,Brazil,-22.871520,-43.272836,
Google Cloud,,On Ramp,Rio de Janeiro,Brazil,-22.871520,-43.272836,
Microsoft Azure,,On Ramp,Rio de Janeiro,Brazil,-22.871520,-43.272836,
Huawei Cloud,,On Ramp,Santana de Parnaiba,Brazil,-23.496225,-46.876923,
IBM Cloud,,On Ramp,Santana de Parnaiba,Brazil,-23.496225,-46.876923,
Amazon Web Services,,On Ramp,SÃ£o Paulo,Brazil,-23.64850, -46.72238,
Amazon Web Services,,On Ramp,SÃ£o Paulo,Brazil,-23.64850, -46.72238,
Google Cloud,,On Ramp,SÃ£o Paulo,Brazil,-23.64850, -46.72238,
Google Cloud,,On Ramp,SÃ£o Paulo,Brazil,-23.64850, -46.72238,
Google Cloud,,On Ramp,SÃ£o Paulo,Brazil,-23.64850, -46.72238,
Huawei Cloud,,On Ramp,SÃ£o Paulo,Brazil,-23.64850, -46.72238,
Huawei Cloud,,On Ramp,SÃ£o Paulo,Brazil,-23.64850, -46.72238,
Huawei Cloud,,On Ramp,SÃ£o Paulo,Brazil,-23.64850, -46.72238,
IBM Cloud,,On Ramp,SÃ£o Paulo,Brazil,-23.64850, -46.72238,
IBM Cloud,,On Ramp,SÃ£o Paulo,Brazil,-23.64850, -46.72238,
Microsoft Azure,,On Ramp,SÃ£o Paulo,Brazil,-23.64850, -46.72238,
Microsoft Azure,,On Ramp,SÃ£o Paulo,Brazil,-23.64850, -46.72238,
Oracle Cloud,,On Ramp,SÃ£o Paulo,Brazil,-23.64850, -46.72238,
Tencent Cloud,,On Ramp,SÃ£o Paulo,Brazil,-23.64850, -46.72238,
Google Cloud,,On Ramp,Sofia,Bulgaria,42.7026051,23.3059837,
Google Cloud,,On Ramp,Sofia,Bulgaria,42.7026051,23.3059837,
Amazon Web Services,,On Ramp,Calgary,Canada,50.9757755,-113.962417,
Amazon Web Services,,On Ramp,Calgary,Canada,50.9757755,-113.962417,
